manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1099/mgen.0.000131	doi:10.1099/mgen.0.000131	doi:10.1099/mgen.0.000131	1FgkF8i4W
doi:10.1099/mgen.0.000293	doi:10.1099/mgen.0.000293	doi:10.1099/mgen.0.000293	cMfI5dpb
doi:10.1101/2020.01.12.903252	doi:10.1101/2020.01.12.903252	doi:10.1101/2020.01.12.903252	5bpLJeyh
doi:10.1101/2020.04.08.032540	doi:10.1101/2020.04.08.032540	doi:10.1101/2020.04.08.032540	GW6Ed5Sw
doi:10.1101/489443	doi:10.1101/489443	doi:10.1101/489443	Rk2NATlI
doi:10.1101/gr.213959.116	doi:10.1101/gr.213959.116	doi:10.1101/gr.213959.116	KP5SjPXN
doi:10.1111/1462-2920.14989	doi:10.1111/1462-2920.14989	doi:10.1111/1462-2920.14989	FONzPbL9
doi:10.1111/1755-0998.12324	doi:10.1111/1755-0998.12324	doi:10.1111/1755-0998.12324	19dz2SKIf
doi:10.1111/j.1574-6976.2011.00273.x	doi:10.1111/j.1574-6976.2011.00273.x	doi:10.1111/j.1574-6976.2011.00273.x	SACLvb9k
doi:10.1126/science.1162986	doi:10.1126/science.1162986	doi:10.1126/science.1162986	QbXTukk0
doi:10.1128/AAC.00235-15	doi:10.1128/AAC.00235-15	doi:10.1128/aac.00235-15	Z1irb7eF
doi:10.1128/AAC.01710-09	doi:10.1128/AAC.01710-09	doi:10.1128/aac.01710-09	17Dww6tOF
doi:10.1128/AEM.00592-09	doi:10.1128/AEM.00592-09	doi:10.1128/aem.00592-09	WU7NeQcW
doi:10.1128/AEM.02577-16	doi:10.1128/AEM.02577-16	doi:10.1128/aem.02577-16	WJT5of5h
doi:10.1128/CMR.17.1.14-56.2004	doi:10.1128/CMR.17.1.14-56.2004	doi:10.1128/cmr.17.1.14-56.2004	ghwC8pm3
doi:10.1128/JB.186.7.2115-2122.2004	doi:10.1128/JB.186.7.2115-2122.2004	doi:10.1128/jb.186.7.2115-2122.2004	IGRAdpaI
doi:10.1128/JCM.42.11.5176-5183.2004	doi:10.1128/JCM.42.11.5176-5183.2004	doi:10.1128/jcm.42.11.5176-5183.2004	zxPEyXfK
doi:10.1128/mSystems.00062-16	doi:10.1128/mSystems.00062-16	doi:10.1128/msystems.00062-16	4jGCH8lH
doi:10.1186/1471-2105-10-421	doi:10.1186/1471-2105-10-421	doi:10.1186/1471-2105-10-421	nEsJGUWa
doi:10.1186/1471-2105-11-119	doi:10.1186/1471-2105-11-119	doi:10.1186/1471-2105-11-119	lX665mdh
doi:10.1186/1471-2164-13-14	doi:10.1186/1471-2164-13-14	doi:10.1186/1471-2164-13-14	1EZyZrHhJ
doi:10.1186/gb-2003-4-9-r57	doi:10.1186/gb-2003-4-9-r57	doi:10.1186/gb-2003-4-9-r57	CZ95oNgV
doi:10.1186/s12859-020-03667-3	doi:10.1186/s12859-020-03667-3	doi:10.1186/s12859-020-03667-3	126oqiCuT
doi:10.1186/s12864-015-1419-2	doi:10.1186/s12864-015-1419-2	doi:10.1186/s12864-015-1419-2	OoKZ0WcH
doi:10.1186/s12864-017-4429-4	doi:10.1186/s12864-017-4429-4	doi:10.1186/s12864-017-4429-4	DRipJnNI
doi:10.1186/s12866-019-1500-0	doi:10.1186/s12866-019-1500-0	doi:10.1186/s12866-019-1500-0	1759XyDVi
doi:10.1186/s12879-017-2727-8	doi:10.1186/s12879-017-2727-8	doi:10.1186/s12879-017-2727-8	MdKqt622
doi:10.1186/s40168-019-0633-6	doi:10.1186/s40168-019-0633-6	doi:10.1186/s40168-019-0633-6	18qKF2jNL
doi:10.1186/s40168-019-0737-z	doi:10.1186/s40168-019-0737-z	doi:10.1186/s40168-019-0737-z	8IMKGJe4
doi:10.1371/journal.pone.0006669	doi:10.1371/journal.pone.0006669	doi:10.1371/journal.pone.0006669	3KTnNd66
doi:10.1371/journal.pone.0008094	doi:10.1371/journal.pone.0008094	doi:10.1371/journal.pone.0008094	LxGqo7iq
doi:10.3389/fmicb.2016.00173	doi:10.3389/fmicb.2016.00173	doi:10.3389/fmicb.2016.00173	x7HhCKyS
doi:10.3389/fmicb.2017.02036	doi:10.3389/fmicb.2017.02036	doi:10.3389/fmicb.2017.02036	fQs94ZPa
doi:10.5281/zenodo.3629446	doi:10.5281/zenodo.3629446	doi:10.5281/zenodo.3629446	LeLYF4iC
doi:10.7287/peerj.preprints.27522v1	doi:10.7287/peerj.preprints.27522v1	doi:10.7287/peerj.preprints.27522v1	b2WO18xh
pmid:15113412	pmid:15113412	pmid:15113412	AVvpww8F
pmid:26603922	pmid:26603922	pmid:26603922	X9j9vETu
url:sickle	url:sickle	url:sickle	1CBlSILo4
